Step,AgentID,Last Choice
0,0,
0,1,
0,2,
0,3,
0,4,
0,5,
0,6,
0,7,
0,8,
0,9,
0,10,
0,11,
0,12,
0,13,
0,14,
0,15,
0,16,
0,17,
0,18,
0,19,
0,20,
0,21,
0,22,
0,23,
0,24,
0,25,
0,26,
0,27,
0,28,
0,29,
0,30,
0,31,
0,32,
0,33,
0,34,
0,35,
0,36,
0,37,
0,38,
0,39,
0,40,
0,41,
0,42,
0,43,
0,44,
0,45,
0,46,
0,47,
0,48,
0,49,
0,50,
0,51,
0,52,
0,53,
0,54,
0,55,
0,56,
0,57,
0,58,
0,59,
0,60,
0,61,
0,62,
0,63,
0,64,
0,65,
0,66,
0,67,
0,68,
0,69,
0,70,
0,71,
0,72,
0,73,
0,74,
0,75,
0,76,
0,77,
0,78,
0,79,
0,80,
0,81,
0,82,
0,83,
0,84,
0,85,
0,86,
0,87,
0,88,
0,89,
0,90,
0,91,
0,92,
0,93,
0,94,
0,95,
0,96,
0,97,
0,98,
0,99,
1,0,Fabulous Fish n chips
1,1,Cheesy does it
1,2,Fabulous Fish n chips
1,3,Fabulous Fish n chips
1,4,Cheesy does it
1,5,Cheesy does it
1,6,Fabulous Fish n chips
1,7,Fabulous Fish n chips
1,8,Fabulous Fish n chips
1,9,Fabulous Fish n chips
1,10,Big Burger House
1,11,Cheesy does it
1,12,Fabulous Fish n chips
1,13,Fabulous Fish n chips
1,14,Big Burger House
1,15,Ace Cafe
1,16,Cheesy does it
1,17,Ace Cafe
1,18,Cheesy does it
1,19,Pizza Perfection
1,20,Cheesy does it
1,21,Big Burger House
1,22,Pizza Perfection
1,23,Big Burger House
1,24,Big Burger House
1,25,Fabulous Fish n chips
1,26,Pizza Perfection
1,27,Cheesy does it
1,28,Cheesy does it
1,29,Pizza Perfection
1,30,Fabulous Fish n chips
1,31,Cheesy does it
1,32,
1,33,Fabulous Fish n chips
1,34,Cheesy does it
1,35,Fabulous Fish n chips
1,36,Fabulous Fish n chips
1,37,Fabulous Fish n chips
1,38,Big Burger House
1,39,Big Burger House
1,40,Cheesy does it
1,41,Fabulous Fish n chips
1,42,Cheesy does it
1,43,Cheesy does it
1,44,Pizza Perfection
1,45,
1,46,Fabulous Fish n chips
1,47,Cheesy does it
1,48,Fabulous Fish n chips
1,49,Fabulous Fish n chips
1,50,Big Burger House
1,51,Fabulous Fish n chips
1,52,Big Burger House
1,53,Big Burger House
1,54,Big Burger House
1,55,Pizza Perfection
1,56,Big Burger House
1,57,Big Burger House
1,58,Fabulous Fish n chips
1,59,Fabulous Fish n chips
1,60,Fabulous Fish n chips
1,61,Pizza Perfection
1,62,Cheesy does it
1,63,Fabulous Fish n chips
1,64,Pizza Perfection
1,65,Big Burger House
1,66,Ace Cafe
1,67,Big Burger House
1,68,Cheesy does it
1,69,Ace Cafe
1,70,Ace Cafe
1,71,Fabulous Fish n chips
1,72,Fabulous Fish n chips
1,73,Fabulous Fish n chips
1,74,Fabulous Fish n chips
1,75,Cheesy does it
1,76,
1,77,
1,78,Pizza Perfection
1,79,Cheesy does it
1,80,Ace Cafe
1,81,Cheesy does it
1,82,
1,83,Fabulous Fish n chips
1,84,Fabulous Fish n chips
1,85,Pizza Perfection
1,86,Big Burger House
1,87,Big Burger House
1,88,Pizza Perfection
1,89,Big Burger House
1,90,Fabulous Fish n chips
1,91,Big Burger House
1,92,Fabulous Fish n chips
1,93,Big Burger House
1,94,Pizza Perfection
1,95,Pizza Perfection
1,96,Fabulous Fish n chips
1,97,Big Burger House
1,98,Cheesy does it
1,99,Big Burger House
2,0,Fabulous Fish n chips
2,1,Cheesy does it
2,2,Fabulous Fish n chips
2,3,Fabulous Fish n chips
2,4,Cheesy does it
2,5,Cheesy does it
2,6,Fabulous Fish n chips
2,7,Fabulous Fish n chips
2,8,Fabulous Fish n chips
2,9,Fabulous Fish n chips
2,10,Big Burger House
2,11,Cheesy does it
2,12,Fabulous Fish n chips
2,13,Fabulous Fish n chips
2,14,Big Burger House
2,15,Ace Cafe
2,16,Cheesy does it
2,17,Ace Cafe
2,18,Cheesy does it
2,19,Pizza Perfection
2,20,Cheesy does it
2,21,Big Burger House
2,22,Pizza Perfection
2,23,Big Burger House
2,24,Big Burger House
2,25,Fabulous Fish n chips
2,26,Pizza Perfection
2,27,Cheesy does it
2,28,Cheesy does it
2,29,Pizza Perfection
