,Good weather
0,True
1,False
2,True
3,False
4,True
5,True
6,True
7,True
8,True
9,True
10,True
11,True
12,False
13,True
14,True
15,True
16,True
17,False
18,False
19,True
20,False
21,False
22,True
23,False
24,True
25,True
26,True
27,False
28,True
29,True
30,False
31,True
32,True
33,False
34,True
35,True
36,False
37,True
38,True
39,True
40,True
41,True
42,False
43,True
44,True
45,True
46,False
47,True
48,False
49,True
50,True
51,True
52,True
53,False
54,True
55,True
56,True
57,True
58,True
59,True
60,False
61,True
62,False
63,False
64,True
65,True
66,False
67,True
68,False
69,True
70,True
71,False
72,True
73,True
74,True
75,False
76,False
77,False
78,True
79,True
80,False
81,True
82,True
83,True
84,True
85,True
86,True
87,True
88,True
89,False
90,True
91,False
92,False
93,True
94,False
95,True
96,True
97,False
98,True
99,False
